node,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
n0,-0.09989037364721298,0.2512374520301819,0.11172302067279816,0.49129047989845276,-0.16180402040481567,0.07438674569129944,0.6703745722770691,0.16661368310451508,0.11510569602251053,-0.3324648141860962,0.30843088030815125,0.23309455811977386,0.15956875681877136,-0.024644792079925537,-0.5584031939506531,-0.09988438338041306
n1,-0.031024795025587082,0.2818554937839508,0.1410655379295349,0.516424298286438,-0.1656576544046402,-0.010628500021994114,0.6785166263580322,0.18152084946632385,-0.003383486531674862,-0.30909475684165955,0.3309146761894226,0.1673087775707245,0.15219706296920776,0.07688138633966446,-0.5809915661811829,-0.03854140266776085
n2,-0.0622500479221344,0.332492858171463,0.16671019792556763,0.4142119586467743,-0.10804315656423569,0.02152535878121853,0.6519922614097595,0.1521567851305008,0.12310808897018433,-0.2559192478656769,0.36414146423339844,0.2524164617061615,0.21893510222434998,-0.036306776106357574,-0.6102886199951172,-0.053439173847436905
n3,-0.02715185470879078,0.2918074131011963,0.09761835634708405,0.49016302824020386,-0.11991404742002487,0.04518699273467064,0.6735644936561584,0.18067145347595215,0.010326615534722805,-0.34193891286849976,0.30793139338493347,0.1766674965620041,0.22638843953609467,0.028476562350988388,-0.5674123167991638,-0.08155405521392822
n4,-0.015880536288022995,0.3058837056159973,0.06247607618570328,0.41962307691574097,-0.06662043929100037,0.07291091978549957,0.7130153775215149,0.13880576193332672,0.08192109316587448,-0.3219876289367676,0.3004554510116577,0.22676478326320648,0.13878074288368225,0.006608678959310055,-0.6263769268989563,-0.038728393614292145
n5,-0.0768047645688057,0.33771198987960815,0.12514108419418335,0.49875175952911377,-0.056098584085702896,0.09871016442775726,0.6028608083724976,0.1282401829957962,0.08177588135004044,-0.323623925447464,0.35588744282722473,0.11947847157716751,0.21803916990756989,0.03159886598587036,-0.5938563942909241,-0.015782974660396576
n6,-0.03142809867858887,0.31090813875198364,0.14647631347179413,0.5334426760673523,-0.15907400846481323,0.04505818709731102,0.7247053384780884,0.10289733111858368,0.00807349942624569,-0.25939059257507324,0.30576059222221375,0.19841422140598297,0.21027863025665283,0.03638964891433716,-0.5177801251411438,-0.002563941292464733
n7,0.037138234823942184,0.25844767689704895,0.10062237828969955,0.49453622102737427,-0.071860671043396,-0.0031808004714548588,0.709814727306366,0.11233798414468765,-0.03728199750185013,-0.2834089696407318,0.2531317174434662,0.1703854650259018,0.2007352113723755,0.03355894982814789,-0.6499866843223572,0.02436375617980957
n8,-0.00023528684687335044,0.3401052951812744,0.05731021985411644,0.4822770059108734,-0.13947920501232147,0.04156782478094101,0.6894012689590454,0.09613537043333054,0.068213552236557,-0.3238372802734375,0.2636300027370453,0.24477891623973846,0.16487568616867065,0.03039402887225151,-0.5672179460525513,-0.08199407905340195
n9,-0.04747597873210907,0.3403441607952118,0.15355469286441803,0.468715101480484,-0.12426527589559555,0.03988971561193466,0.7176157832145691,0.05914652347564697,0.023423505946993828,-0.26273074746131897,0.27766770124435425,0.25258809328079224,0.24114717543125153,0.08351117372512817,-0.5480635166168213,0.01690867356956005
