timestamp,event_type,event_target,task_id,task_size,cycles_per_bit,ddl,criticality,src_node,force_dst_node
0,TASK_SUBMIT,,warmup_0,5,10,20,low,n0,n0
0,TASK_SUBMIT,,warmup_1,5,10,20,low,n1,n1
0,TASK_SUBMIT,,warmup_2,5,10,20,low,n2,n2
0,TASK_SUBMIT,,warmup_3,5,10,20,low,n3,n3
0,TASK_SUBMIT,,warmup_4,5,10,20,low,n4,n4
0,TASK_SUBMIT,,warmup_5,5,10,20,low,n5,n5
0,TASK_SUBMIT,,warmup_6,5,10,20,low,n6,n6
0,TASK_SUBMIT,,warmup_7,5,10,20,low,n7,n7
0,TASK_SUBMIT,,warmup_8,5,10,20,low,n8,n8
0,TASK_SUBMIT,,warmup_9,5,10,20,low,n9,n9
50,TASK_SUBMIT,,normal_0,25,10,30,high,n0,
55,TASK_SUBMIT,,normal_1,25,10,30,high,n1,
60,TASK_SUBMIT,,normal_2,25,10,30,high,n2,
65,TASK_SUBMIT,,normal_3,25,10,30,high,n3,
70,TASK_SUBMIT,,normal_4,25,10,30,high,n4,
75,TASK_SUBMIT,,normal_5,25,10,30,high,n5,
80,TASK_SUBMIT,,normal_6,25,10,30,high,n6,
85,TASK_SUBMIT,,normal_7,25,10,30,high,n7,
90,TASK_SUBMIT,,normal_8,25,10,30,high,n8,
95,TASK_SUBMIT,,normal_9,25,10,30,high,n9,
100,TASK_SUBMIT,,normal_10,25,10,30,high,n0,
105,TASK_SUBMIT,,normal_11,25,10,30,high,n1,
110,TASK_SUBMIT,,normal_12,25,10,30,high,n2,
115,TASK_SUBMIT,,normal_13,25,10,30,high,n3,
120,TASK_SUBMIT,,normal_14,25,10,30,high,n4,
125,TASK_SUBMIT,,normal_15,25,10,30,high,n5,
130,TASK_SUBMIT,,normal_16,25,10,30,high,n6,
135,TASK_SUBMIT,,normal_17,25,10,30,high,n7,
140,TASK_SUBMIT,,normal_18,25,10,30,high,n8,
145,TASK_SUBMIT,,normal_19,25,10,30,high,n9,
150,TASK_SUBMIT,,normal_20,25,10,30,high,n0,
155,TASK_SUBMIT,,normal_21,25,10,30,high,n1,
160,TASK_SUBMIT,,normal_22,25,10,30,high,n2,
165,TASK_SUBMIT,,normal_23,25,10,30,high,n3,
170,TASK_SUBMIT,,normal_24,25,10,30,high,n4,
175,TASK_SUBMIT,,normal_25,25,10,30,high,n5,
180,TASK_SUBMIT,,normal_26,25,10,30,high,n6,
185,TASK_SUBMIT,,normal_27,25,10,30,high,n7,
190,TASK_SUBMIT,,normal_28,25,10,30,high,n8,
195,TASK_SUBMIT,,normal_29,25,10,30,high,n9,
200,MAKE_MALICIOUS,n3,,,,,,,
205,TASK_SUBMIT,,bait_0,30,10,15,high,n0,
210,TASK_SUBMIT,,bait_1,30,10,15,high,n1,
215,TASK_SUBMIT,,bait_2,30,10,15,high,n2,
220,TASK_SUBMIT,,bait_3,30,10,15,high,n3,
225,TASK_SUBMIT,,bait_4,30,10,15,high,n4,
230,TASK_SUBMIT,,bait_5,30,10,15,high,n5,
235,TASK_SUBMIT,,bait_6,30,10,15,high,n6,
240,TASK_SUBMIT,,bait_7,30,10,15,high,n7,
245,TASK_SUBMIT,,bait_8,30,10,15,high,n8,
250,TASK_SUBMIT,,bait_9,30,10,15,high,n9,
255,TASK_SUBMIT,,bait_10,30,10,15,high,n0,
260,TASK_SUBMIT,,bait_11,30,10,15,high,n1,
265,TASK_SUBMIT,,bait_12,30,10,15,high,n2,
270,TASK_SUBMIT,,bait_13,30,10,15,high,n3,
275,TASK_SUBMIT,,bait_14,30,10,15,high,n4,
280,TASK_SUBMIT,,bait_15,30,10,15,high,n5,
285,TASK_SUBMIT,,bait_16,30,10,15,high,n6,
290,TASK_SUBMIT,,bait_17,30,10,15,high,n7,
295,TASK_SUBMIT,,bait_18,30,10,15,high,n8,
300,TASK_SUBMIT,,bait_19,30,10,15,high,n9,
300,TASK_SUBMIT,,burst_0,60,10,50,low,n0,
300,TASK_SUBMIT,,burst_1,60,10,50,low,n1,
300,TASK_SUBMIT,,burst_2,60,10,50,low,n2,
300,TASK_SUBMIT,,burst_3,60,10,50,low,n3,
300,TASK_SUBMIT,,burst_4,60,10,50,low,n4,
300,TASK_SUBMIT,,burst_5,60,10,50,low,n5,
300,TASK_SUBMIT,,burst_6,60,10,50,low,n6,
300,TASK_SUBMIT,,burst_7,60,10,50,low,n7,
300,TASK_SUBMIT,,burst_8,60,10,50,low,n8,
300,TASK_SUBMIT,,burst_9,60,10,50,low,n9,
300,TASK_SUBMIT,,burst_10,60,10,50,low,n0,
300,TASK_SUBMIT,,burst_11,60,10,50,low,n1,
300,TASK_SUBMIT,,burst_12,60,10,50,low,n2,
300,TASK_SUBMIT,,burst_13,60,10,50,low,n3,
300,TASK_SUBMIT,,burst_14,60,10,50,low,n4,
300,TASK_SUBMIT,,burst_15,60,10,50,low,n5,
300,TASK_SUBMIT,,burst_16,60,10,50,low,n6,
300,TASK_SUBMIT,,burst_17,60,10,50,low,n7,
300,TASK_SUBMIT,,burst_18,60,10,50,low,n8,
300,TASK_SUBMIT,,burst_19,60,10,50,low,n9,
300,TASK_SUBMIT,,burst_20,60,10,50,low,n0,
300,TASK_SUBMIT,,burst_21,60,10,50,low,n1,
300,TASK_SUBMIT,,burst_22,60,10,50,low,n2,
300,TASK_SUBMIT,,burst_23,60,10,50,low,n3,
300,TASK_SUBMIT,,burst_24,60,10,50,low,n4,
